Id,date,sessions_per_day,energy_per_day_kWh,avg_duration_min,avg_power_kW_day,dow,is_weekend,month,year,week,CH_SPEED,CH_TYPE,CON_TYPE,CP_CHARGE,USAGE_,OUTPUT1_kW,OUTPUT2_kW,lon,lat
50245,2018-09-28,8,59.91,25.75,18.192500901875903,Fr,FALSE,Sep,2018,39,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-09-29,3,30.255,26.666666666666668,22.465484400656813,Sa,FALSE,Sep,2018,39,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-09-30,3,31.176000000000002,25,29.76735930735931,So,FALSE,Sep,2018,39,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-10-09,2,36.4,34,33.2021052631579,Di,FALSE,Okt,2018,41,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-10-10,3,27.794,22,20.308138528138528,Mi,FALSE,Okt,2018,41,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-10-11,3,34.68,17.333333333333332,38.46333333333333,Do,FALSE,Okt,2018,41,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-10-12,2,46.635,44,28.326071428571428,Fr,FALSE,Okt,2018,41,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-10-13,9,85.527,20.77777777777778,26.527501844560668,Sa,FALSE,Okt,2018,41,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-10-14,7,63.922000000000004,20.142857142857142,27.90950413058777,So,FALSE,Okt,2018,41,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-10-15,6,19.521,17.5,14.536547619047619,Mo,FALSE,Okt,2018,42,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-10-16,2,21.740000000000002,28.5,22.464444444444446,Di,FALSE,Okt,2018,42,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-10-17,3,16.64,34.666666666666664,12.079388714733543,Mi,FALSE,Okt,2018,42,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-10-18,5,53.499,34.6,20.906051556167903,Do,FALSE,Okt,2018,42,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-10-19,6,86.26,29.166666666666668,29.85679894179894,Fr,FALSE,Okt,2018,42,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-10-20,4,45.06,20.25,36.798793103448276,Sa,FALSE,Okt,2018,42,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-10-21,7,103.744,34,29.291984431709505,So,FALSE,Okt,2018,42,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-10-22,4,33.74,31,20.80296221570066,Mo,FALSE,Okt,2018,43,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-10-23,4,21.94,18.25,19.53214285714286,Di,FALSE,Okt,2018,43,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-10-24,3,33.980000000000004,24.333333333333332,30.103907496012763,Mi,FALSE,Okt,2018,43,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-10-25,1,10.57,18,35.233333333333334,Do,FALSE,Okt,2018,43,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-10-26,3,52.231,38.666666666666664,26.94733545200444,Fr,FALSE,Okt,2018,43,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-10-27,6,39.211,16.333333333333332,28.58941364191364,Sa,FALSE,Okt,2018,43,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-10-28,3,43.06,29.333333333333332,23.843611111111112,So,FALSE,Okt,2018,43,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-10-29,6,37.86,19.666666666666668,21.642458282458286,Mo,FALSE,Okt,2018,44,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-10-30,5,41.4,31.6,14.168856383970176,Di,FALSE,Okt,2018,44,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-10-31,6,72.157,30.333333333333332,29.666742956269964,Mi,FALSE,Okt,2018,44,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-11-09,4,34.586,55.75,16.039254310344827,Fr,FALSE,Nov,2018,45,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-11-10,3,23.380000000000003,25.333333333333332,18.1371382420245,Sa,FALSE,Nov,2018,45,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-11-11,5,67.477,30.2,27.08729625506073,So,FALSE,Nov,2018,45,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-11-12,4,9.565,14.75,8.948423753665688,Mo,FALSE,Nov,2018,46,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-11-13,2,12.489999999999998,29.5,12.811805555555555,Di,FALSE,Nov,2018,46,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-11-14,7,56.72,21.428571428571427,23.814279418732195,Mi,FALSE,Nov,2018,46,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-11-15,2,59.15,52.5,31.966666666666665,Do,FALSE,Nov,2018,46,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-11-16,4,89.887,272.75,11.818097226996535,Fr,FALSE,Nov,2018,46,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-11-17,5,44.033,22,25.558121543572707,Sa,FALSE,Nov,2018,46,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-11-18,6,71.771,24.833333333333332,29.34817362817363,So,FALSE,Nov,2018,46,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-11-19,4,50.054,36,23.68554005205321,Mo,FALSE,Nov,2018,47,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
